artist,ID,genre,Location,Start,End,Hotttnesss,Discovery,Familiarity
Lily Allen,ARKZJ301187FB521B2,pop,"Hammersmith, London, England, GB",2002,9999,0.718482,0.723593,0.41605944749117885
Justin Bieber,ARFCWSZ123526A0AFD,pop,"Stratford, Canada",2008,9999,0.831802,0.972454,0.417318578321918
Róisín Murphy,ARF799P1187B9A97D5,pop,"Arklow, Ireland",1995,9999,0.666004,0.699633,0.4460453127253416
Christina Milian,ARDUIMG1187B9B9498,pop,"Jersey City, NJ",1996,9999,0.636441,0.632744,0.4253355620156838
New Kids on the Block,ARY7CAU1187B98A4F6,pop,"Boston, MA, US",2008,9999,0.663405,0.63343,0.40577587875629056
Eurythmics,ARDGB6U1187FB3AD07,pop,"Aberdeen, Scotland, GB",1999,2005,0.645374,0.601142,0.39781127012016454
Andy Williams,ARF6C551187FB40741,pop,"Wall Lake, IA, US",1938,2012,0.618247,0.604649,0.4192913738132732
Seal,ARAIABB1187B9AC6E2,pop,"London, UK",1987,9999,0.674825,0.641149,0.4020888044080671
Nancy Sinatra,ARZRSDP1187B9ACFF8,pop,"Jersey City, NJ, US",1961,9999,0.647378,0.594424,0.39197064970117035
The Monkees,ARY1LTC1187B9B1DC4,pop,"Los Angeles, CA",2010,9999,0.723292,0.622456,0.35427659763406927
Mika,AR8QWS71187B9A7BD5,pop,"London, UK",2006,9999,0.702204,0.872348,0.5186850331270885
Shakira,AR6PJ8R1187FB5AD70,pop,"Barranquilla, Atlantico, CO",1990,9999,0.774735,0.858593,0.43376730484387604
Sarah McLachlan,ARKGMWY1187FB48338,pop,"Halifax, Canada",1988,9999,0.72376,0.729153,0.4145896461841544
Fergie,ARMRCET1187FB52049,pop,"Hacienda Heights, CA, US",2006,9999,0.717824,0.759417,0.4372625654075759
Christina Aguilera,AR0S7TA1187FB4D024,pop,"Staten Island, NY",1999,9999,0.791981,0.773817,0.37369663366301203
소녀시대,AR7ASIS11C8A416335,pop,"Seoul, South Korea",2007,9999,0.595324,0.845308,0.6087681942422638
Colbie Caillat,ARQ2I6K1187FB59949,pop,"Malibu, CA",2007,9999,0.681344,0.685793,0.42479767791206013
Elton John,ARTB3OO1187FB49BDA,pop,"Pinner, UK",1964,9999,0.823623,0.777791,0.34261881423592117
James Blunt,ARS57XV1187B9B8535,pop,"Tidworth, England, GB",2003,9999,0.690133,0.786285,0.47884107477515037
Kelly Clarkson,ARJGIOD1187B9AE920,pop,"Burleson, TX",2002,9999,0.782216,0.800355,0.396659976690403
Marc Anthony,ARXM0CX1187B98FD56,pop,"New York, NY",1988,9999,0.684428,0.824039,0.5074179150116681
Duran Duran,AR9L6R11187B9AA3F2,pop,"Birmingham, UK",1978,9999,0.784093,0.820495,0.40465266475990286
Elisa,ARY5UO61187FB5271F,pop,"Trieste, Italy",1996,9999,0.657548,0.751089,0.48631926053743774
Boy George,ARILMD31187B99B369,pop,"Kent, England",1979,9999,0.650999,0.726342,0.4758771799254512
Cher,AR4VT3E1187FB570BB,pop,"Los Angeles, CA",1963,9999,0.731345,0.686589,0.38404205462023355
Backstreet Boys,AR3JMC51187B9AE49D,pop,"Orlando, FL",1993,9999,0.751321,0.731444,0.3911155539040427
Vanessa Carlton,AR5LDM21187B9AC3DE,pop,"Milford, PA, US",1998,9999,0.629694,0.717408,0.48790141798477393
P!nk,ARZRYXF1187FB555CC,pop,"Abington, PA",1995,9999,0.737707,0.905155,0.4992391836294926
Justin Timberlake,ARWK5QH1187B9A9B7F,pop,"Memphis, TN",1992,9999,0.805688,0.834839,0.38805083006489716
Sia,AR6ENUY1187B994158,pop,"Adelaide, Australia",1993,9999,0.763197,0.95186,0.4948199049071291
Westlife,AR5YRCN1187B98E3C8,pop,"Sligo, Ireland",2009,2012,0.659711,0.738998,0.47661270166454817
M. Pokora,ARCUAFJ122BCFCC42A,pop,"Strasbourg, Alsace, FR",2003,9999,0.482698,0.738051,0.6298840814345471
Paulina Rubio,ARW23ZV1187FB558A3,pop,"Mexico City, Distrito Federal, MX",1981,9999,0.590304,0.764437,0.5550031736080832
Neil Diamond,AR40GSU1187FB3AA01,pop,"New York, NY",1962,9999,0.719085,0.654984,0.37613177388288815
The Veronicas,AR0FFYE1187FB3B00A,pop,"Brisbane, Queensland, AU",1999,9999,0.622819,0.622083,0.4280633231378091
